channel,name,color,group,group
5,South FAST,W,Fast Tubes,Test Fast
6,East FAST,W,Fast Tubes,
9,Mini Tree 1,W,Mini Trees,
10,Mini Tree 2,W,Mini Trees,
11,Mini Tree 3,W,Mini Trees,
13,Candy Cane group 1,W,Candy Canes,
14,Candy Cane group 2,W,Candy Canes,
15,Candy Cane group 3,W,Candy Canes,
16,Candy Cane group 4,W,Candy Canes,
17,Upper Window Star West,W,Window 5 Extras,
18,Upper Window Star Top,W,Window 5 Extras,
19,Upper Window Start East,W,Window 5 Extras,
20,Upper Window Icicles,W,Window 5 Extras,
21,Window 1,RBG,Window Frames/Window 1,
25,Window 2,RBG,Window Frames/Window 2,
29,Window 3,RBG,Window Frames/Window 3,
33,Window 5,RBG,Window Frames/Window 5,
37,Upstairs Stocking,W,Window Wireframes,
38,Upstairs Bow,W,Window Wireframes,
41,Porch Santa Head 1,W,Window Wireframes,
42,Porch Stocking 1,W,Window Wireframes,
43,Porch Christmas Tree,W,Window Wireframes,
44,Porch Bow,W,Window Wireframes,
45,Porch Stocking 2,W,Window Wireframes,
46,Porch Santa Head 2,W,Window Wireframes,
47,Porch Santa Full,W,Window Wireframes,
48,Porch Stocking 3,W,Window Wireframes,
49,MT Star Red,R,Mega Tree/Star,
50,MT Star Green,G,Mega Tree/Star,
51,MT Star White,W,Mega Tree/Star,
52,MT Star Multi,W,Mega Tree/Star,
73,Marty Fan 1,W,Marty Fan,
74,Marty Fan 2,W,Marty Fan,
75,Marty Fan 3,W,Marty Fan,
76,Marty Fan 4,W,Marty Fan,
77,Marty Fan 5,W,Marty Fan,
78,Marty Fan 6,W,Marty Fan,
79,Marty Fan 7,W,Marty Fan,
80,Marty Fan 8,W,Marty Fan,
81,Marty Fan 9,W,Marty Fan,
82,Marty Fan 10,W,Marty Fan,
83,Marty Fan 11,W,Marty Fan,
84,Marty Fan 12,W,Marty Fan,
85,Marty Fan 13,W,Marty Fan,
86,Marty Fan 14,W,Marty Fan,
87,Marty Fan 15,W,Marty Fan,
88,Marty Fan 16,W,Marty Fan,
89,Marty Fan 17,W,Marty Fan,
90,Marty Fan 18,W,Marty Fan,
91,Marty Fan 19,W,Marty Fan,
92,Marty Fan 20,W,Marty Fan,
93,Marty Fan Border,W,Marty Fan,
95,Window 4,W,Window Frames/Window 4,
96,Tune to sign,W,,
97,Arch 1 - 1,W,Arches/Arch 1,
98,Arch 1 - 2,W,Arches/Arch 1,
99,Arch 1 - 3,W,Arches/Arch 1,
100,Arch 1 - 4,W,Arches/Arch 1,
101,Arch 1 - 5,W,Arches/Arch 1,
102,Arch 1 - 6,W,Arches/Arch 1,
103,Arch 1 - 7,W,Arches/Arch 1,
104,Arch 1 - 8,W,Arches/Arch 1,
105,Arch 2 - 1,W,Arches/Arch 2,
106,Arch 2 - 2,W,Arches/Arch 2,
107,Arch 2 - 3,W,Arches/Arch 2,
108,Arch 2 - 4,W,Arches/Arch 2,
109,Arch 2 - 5,W,Arches/Arch 2,
110,Arch 2 - 6,W,Arches/Arch 2,
111,Arch 2 - 7,W,Arches/Arch 2,
112,Arch 2 - 8,W,Arches/Arch 2,
113,Arch 3 - 1,W,Arches/Arch 3,
114,Arch 3 - 2,W,Arches/Arch 3,
115,Arch 3 - 3,W,Arches/Arch 3,
116,Arch 3 - 4,W,Arches/Arch 3,
117,Arch 3 - 5,W,Arches/Arch 3,
118,Arch 3 - 6,W,Arches/Arch 3,
119,Arch 3 - 7,W,Arches/Arch 3,
120,Arch 3 - 8,W,Arches/Arch 3,
121,Arch 4 - 1,W,Arches/Arch 4,
122,Arch 4 - 2,W,Arches/Arch 4,
123,Arch 4 - 3,W,Arches/Arch 4,
124,Arch 4 - 4,W,Arches/Arch 4,
125,Arch 4 - 5,W,Arches/Arch 4,
126,Arch 4 - 6,W,Arches/Arch 4,
127,Arch 4 - 7,W,Arches/Arch 4,
128,Arch 4 - 8,W,Arches/Arch 4,
129,Pixel 1,RGB,Mega Tree/String 1,
132,Pixel 2,RGB,Mega Tree/String 1,
135,Pixel 3,RGB,Mega Tree/String 1,
138,Pixel 4,RGB,Mega Tree/String 1,
141,Pixel 5,RGB,Mega Tree/String 1,
144,Pixel 6,RGB,Mega Tree/String 1,
147,Pixel 7,RGB,Mega Tree/String 1,
150,Pixel 8,RGB,Mega Tree/String 1,
153,Pixel 9,RGB,Mega Tree/String 1,
156,Pixel 10,RGB,Mega Tree/String 1,
159,Pixel 11,RGB,Mega Tree/String 1,
162,Pixel 12,RGB,Mega Tree/String 1,
165,Pixel 13,RGB,Mega Tree/String 1,
168,Pixel 14,RGB,Mega Tree/String 1,
171,Pixel 15,RGB,Mega Tree/String 1,
174,Pixel 16,RGB,Mega Tree/String 1,
177,Pixel 17,RGB,Mega Tree/String 1,
180,Pixel 18,RGB,Mega Tree/String 1,
183,Pixel 19,RGB,Mega Tree/String 1,
186,Pixel 20,RGB,Mega Tree/String 1,
189,Pixel 21,RGB,Mega Tree/String 1,
192,Pixel 22,RGB,Mega Tree/String 1,
195,Pixel 23,RGB,Mega Tree/String 1,
198,Pixel 24,RGB,Mega Tree/String 1,
201,Pixel 25,RGB,Mega Tree/String 1,
204,Pixel 1,RGB,Mega Tree/String 2,
207,Pixel 2,RGB,Mega Tree/String 2,
210,Pixel 3,RGB,Mega Tree/String 2,
